table,cell_id,model,method_or_setting,scope_or_task,metric,paper_value,recomputed_value,absolute_difference,status,aggregation,source_paths,source_fields,notes
tab:main_results_three_models,deepseekcoder|BOUND|unseen|Package-HR,deepseekcoder,BOUND,unseen,Package-HR,0.1706,0.1706481865,4.818648378e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/BOUND/eval_unseen_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|BOUND|unseen|Valid-Rate,deepseekcoder,BOUND,unseen,Valid-Rate,0.8909,0.8909426987,4.26987061e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/BOUND/eval_unseen_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,deepseekcoder|ROME|edit50|Sample-HR,deepseekcoder,ROME,edit50,Sample-HR,0.182,0.182,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/ROME/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|ROME|edit50|Package-HR,deepseekcoder,ROME,edit50,Package-HR,0.0916,0.09162089255,2.089255208e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/ROME/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|ROME|edit50|Valid-Rate,deepseekcoder,ROME,edit50,Valid-Rate,0.212,0.212,5.551115123e-17,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/ROME/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,deepseekcoder|ROME|unseen|Sample-HR,deepseekcoder,ROME,unseen,Sample-HR,0.1879,0.1878927911,7.208872458e-06,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/ROME/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|ROME|unseen|Package-HR,deepseekcoder,ROME,unseen,Package-HR,0.1085,0.1085589737,5.897371712e-05,rounding_only,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/ROME/eval_unseen_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|ROME|unseen|Valid-Rate,deepseekcoder,ROME,unseen,Valid-Rate,0.1978,0.1977818854,1.811460259e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/ROME/eval_unseen_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,deepseekcoder|MEMIT|edit50|Sample-HR,deepseekcoder,MEMIT,edit50,Sample-HR,0.756,0.756,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/MEMIT/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|MEMIT|edit50|Package-HR,deepseekcoder,MEMIT,edit50,Package-HR,0.4049,0.4048873744,1.262557614e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/MEMIT/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|MEMIT|edit50|Valid-Rate,deepseekcoder,MEMIT,edit50,Valid-Rate,0.816,0.816,1.110223025e-16,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/MEMIT/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,deepseekcoder|MEMIT|unseen|Sample-HR,deepseekcoder,MEMIT,unseen,Sample-HR,0.7503,0.7503696858,6.96857671e-05,rounding_only,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/MEMIT/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|MEMIT|unseen|Package-HR,deepseekcoder,MEMIT,unseen,Package-HR,0.4114,0.4114300987,3.009865823e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/MEMIT/eval_unseen_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|MEMIT|unseen|Valid-Rate,deepseekcoder,MEMIT,unseen,Valid-Rate,0.8001,0.8000924214,7.578558226e-06,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/MEMIT/eval_unseen_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,deepseekcoder|DINM|edit50|Sample-HR,deepseekcoder,DINM,edit50,Sample-HR,0.154,0.154,2.775557562e-17,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/DINM/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|DINM|edit50|Package-HR,deepseekcoder,DINM,edit50,Package-HR,0.1327,0.1327368052,3.680522933e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/DINM/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|DINM|edit50|Valid-Rate,deepseekcoder,DINM,edit50,Valid-Rate,0.4,0.4,1.110223025e-16,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/DINM/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,deepseekcoder|DINM|unseen|Sample-HR,deepseekcoder,DINM,unseen,Sample-HR,0.2805,0.2804990758,9.242144176e-07,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/DINM/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|DINM|unseen|Package-HR,deepseekcoder,DINM,unseen,Package-HR,0.2366,0.2365284479,7.15521253e-05,rounding_only,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/DINM/eval_unseen_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|DINM|unseen|Valid-Rate,deepseekcoder,DINM,unseen,Valid-Rate,0.3707,0.370702403,2.402957487e-06,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/DINM/eval_unseen_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,deepseekcoder|Full-FT|edit50|Sample-HR,deepseekcoder,Full-FT,edit50,Sample-HR,0.058,0.058,6.938893904e-18,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/Full-FT/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|Full-FT|edit50|Package-HR,deepseekcoder,Full-FT,edit50,Package-HR,0.0188,0.01881620144,1.620143931e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/Full-FT/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|Full-FT|edit50|Valid-Rate,deepseekcoder,Full-FT,edit50,Valid-Rate,0.95,0.95,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/Full-FT/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,deepseekcoder|Full-FT|unseen|Sample-HR,deepseekcoder,Full-FT,unseen,Sample-HR,0.4814,0.4813308688,6.913123845e-05,rounding_only,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/Full-FT/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|Full-FT|unseen|Package-HR,deepseekcoder,Full-FT,unseen,Package-HR,0.2141,0.2141097952,9.795203459e-06,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/Full-FT/eval_unseen_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|Full-FT|unseen|Valid-Rate,deepseekcoder,Full-FT,unseen,Valid-Rate,0.8991,0.8990757856,2.421441774e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/Full-FT/eval_unseen_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,deepseekcoder|Self-Refinement|edit50|Sample-HR,deepseekcoder,Self-Refinement,edit50,Sample-HR,0.518,0.518,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/self_refinement/eval_edit50.json,summary.sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|Self-Refinement|edit50|Package-HR,deepseekcoder,Self-Refinement,edit50,Package-HR,0.2263,0.2263018258,1.825802612e-06,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/self_refinement/eval_edit50.json,summary.package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|Self-Refinement|edit50|Valid-Rate,deepseekcoder,Self-Refinement,edit50,Valid-Rate,0.836,0.836,1.110223025e-16,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/self_refinement/eval_edit50.json,summary.sample_valid_rate,
tab:main_results_three_models,deepseekcoder|Self-Refinement|unseen|Sample-HR,deepseekcoder,Self-Refinement,unseen,Sample-HR,,,,not_applicable,not applicable,,not produced,Self-Refinement is edit-time inference only
tab:main_results_three_models,deepseekcoder|Self-Refinement|unseen|Package-HR,deepseekcoder,Self-Refinement,unseen,Package-HR,,,,not_applicable,not applicable,,not produced,Self-Refinement is edit-time inference only
tab:main_results_three_models,deepseekcoder|Self-Refinement|unseen|Valid-Rate,deepseekcoder,Self-Refinement,unseen,Valid-Rate,,,,not_applicable,not applicable,,not produced,Self-Refinement is edit-time inference only
tab:main_results_three_models,llama3.1|Base|edit50|Sample-HR,llama3.1,Base,edit50,Sample-HR,0.832,0.832,2.220446049e-16,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/base_edit50_eval.json,summary.sample_hallucination_rate,
tab:main_results_three_models,llama3.1|Base|edit50|Package-HR,llama3.1,Base,edit50,Package-HR,0.4308,0.4307370782,6.292180912e-05,rounding_only,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/base_edit50_eval.json,summary.package_hallucination_rate,
tab:main_results_three_models,llama3.1|Base|edit50|Valid-Rate,llama3.1,Base,edit50,Valid-Rate,0.815,0.815,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/base_edit50_eval.json,summary.sample_valid_rate,
tab:main_results_three_models,llama3.1|Base|unseen|Sample-HR,llama3.1,Base,unseen,Sample-HR,0.8368,0.8368308351,3.083511777e-05,match,single heldout base run,BOUND/results/paper/rq1_package_recommendation/llama3.1/base_heldout_highrisk_eval.json,summary.sample_hallucination_rate,
tab:main_results_three_models,llama3.1|Base|unseen|Package-HR,llama3.1,Base,unseen,Package-HR,0.4295,0.4294549915,4.500854568e-05,match,single heldout base run,BOUND/results/paper/rq1_package_recommendation/llama3.1/base_heldout_highrisk_eval.json,summary.package_hallucination_rate,
tab:main_results_three_models,llama3.1|Base|unseen|Valid-Rate,llama3.1,Base,unseen,Valid-Rate,0.8182,0.8182012848,1.284796574e-06,match,single heldout base run,BOUND/results/paper/rq1_package_recommendation/llama3.1/base_heldout_highrisk_eval.json,summary.sample_valid_rate,
tab:main_results_three_models,llama3.1|BOUND|edit50|Sample-HR,llama3.1,BOUND,edit50,Sample-HR,0.318,0.318,5.551115123e-17,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/BOUND/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,llama3.1|BOUND|edit50|Package-HR,llama3.1,BOUND,edit50,Package-HR,0.1419,0.1418886187,1.13812514e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/BOUND/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
