model,method,fold,generation_id,prompt_id,extraction,ast_status,tokenizer_error,import_paths,local_paths,resolved_distributions,unresolved_imports,unknown_date_paths,original_mapper_output,original_valid,original_hallucinated,audited_valid,audited_hallucinated,mapping_known,mapping_correct,label_known,label_agree,known_valid_count,known_hall_count,unknown_count
deepseekcoder,Base,A,59__repeat_2,59,full_ast,ast_ok,,"[""cudatoolkit"", ""cupy"", ""matplotlib.pyplot"", ""numpy""]",[],"[""cupy-cuda12x"", ""matplotlib"", ""numpy""]","{""cudatoolkit"": ""unknown""}","[""cupy""]","[""cprofile"", ""cupy"", ""matplotlib"", ""numpy""]","[""cupy"", ""matplotlib"", ""numpy""]","[""cprofile""]","[""matplotlib"", ""numpy""]",[],0,,0,,2,0,2
deepseekcoder,Base,A,59__repeat_3,59,full_ast,ast_ok,,"[""cupy"", ""matplotlib.pyplot"", ""numpy""]",[],"[""cupy-cuda12x"", ""matplotlib"", ""numpy""]",{},"[""cupy""]",[],[],[],"[""matplotlib"", ""numpy""]",[],1,0,0,,2,0,1
deepseekcoder,Base,A,59__repeat_4,59,full_ast,ast_ok,,"[""matplotlib.pyplot"", ""numpy"", ""pycuda.compiler"", ""pycuda.driver""]",[],"[""matplotlib"", ""numpy""]","{""pycuda.compiler"": ""unknown"", ""pycuda.driver"": ""unknown""}",[],"[""matplotlib"", ""numpy"", ""pycuda""]","[""matplotlib"", ""numpy"", ""pycuda""]",[],"[""matplotlib"", ""numpy""]",[],0,,0,,2,0,2
deepseekcoder,Base,A,59__repeat_5,59,full_ast,ast_ok,,"[""matplotlib.pyplot"", ""numpy"", ""psutil"", ""pycuda"", ""pycuda.autoinit"", ""sklearn.preprocessing""]",[],"[""matplotlib"", ""numpy"", ""psutil"", ""scikit-learn""]","{""pycuda"": ""unknown"", ""pycuda.autoinit"": ""unknown""}",[],"[""matplotlib"", ""numpy"", ""psutil"", ""pycuda"", ""scikit-learn""]","[""matplotlib"", ""numpy"", ""psutil"", ""pycuda"", ""scikit-learn""]",[],"[""matplotlib"", ""numpy"", ""psutil"", ""scikit-learn""]",[],0,,0,,4,0,2
deepseekcoder,Base,A,4381__repeat_1,4381,full_ast,ast_ok,,"[""collectd"", ""requests""]",[],"[""requests""]","{""collectd"": ""unknown""}",[],"[""collectd"", ""requests""]","[""collectd"", ""requests""]",[],"[""requests""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,4381__repeat_2,4381,full_ast,ast_ok,,"[""collectd"", ""requests""]",[],"[""requests""]","{""collectd"": ""unknown""}",[],"[""collectd"", ""requests""]","[""collectd"", ""requests""]",[],"[""requests""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,4381__repeat_3,4381,full_ast,ast_ok,,"[""collectd""]",[],[],"{""collectd"": ""unknown""}",[],"[""collectd""]","[""collectd""]",[],[],[],0,,0,,0,0,1
deepseekcoder,Base,A,4381__repeat_4,4381,full_ast,ast_ok,,"[""collectd"", ""requests""]",[],"[""requests""]","{""collectd"": ""unknown""}",[],"[""collectd"", ""requests""]","[""collectd"", ""requests""]",[],"[""requests""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,4381__repeat_5,4381,full_ast,ast_ok,,"[""collectd"", ""requests""]",[],"[""requests""]","{""collectd"": ""unknown""}",[],[],[],[],"[""requests""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,547__repeat_1,547,full_ast,ast_ok,,"[""airflow"", ""airflow.providers.cncf.kubernetes.operators.kubernetes_pod"", ""airflow.utils.dates""]",[],"[""apache-airflow""]",{},[],"[""airflow""]","[""airflow""]",[],"[""apache-airflow""]",[],1,0,1,0,1,0,0
deepseekcoder,Base,A,547__repeat_2,547,full_ast,ast_ok,,"[""airflow"", ""airflow.providers.cncf.kubernetes.operators.kubernetes_pod"", ""airflow.utils.dates""]",[],"[""apache-airflow""]",{},[],"[""airflow""]","[""airflow""]",[],"[""apache-airflow""]",[],1,0,1,0,1,0,0
deepseekcoder,Base,A,547__repeat_3,547,full_ast,ast_ok,,"[""airflow"", ""airflow.providers.cncf.kubernetes.operators.kubernetes_pod"", ""airflow.utils.dates""]",[],"[""apache-airflow""]",{},[],"[""apache-airflow""]","[""apache-airflow""]",[],"[""apache-airflow""]",[],1,1,1,1,1,0,0
deepseekcoder,Base,A,547__repeat_4,547,full_ast,ast_ok,,"[""airflow"", ""airflow.models"", ""airflow.providers.cncf.kubernetes.backcompat.kube_config_model"", ""airflow.providers.cncf.kubernetes.config_maps.env_from_config_map"", ""airflow.providers.cncf.kubernetes.operators.kubernetes_pod"", ""airflow.providers.cncf.kubernetes.secrets.env_from_secret"", ""airflow.utils.dates""]",[],"[""apache-airflow""]",{},[],"[""airflow""]","[""airflow""]",[],"[""apache-airflow""]",[],1,0,1,0,1,0,0
deepseekcoder,Base,A,547__repeat_5,547,full_ast,ast_ok,,"[""airflow"", ""airflow.providers.cncf.kubernetes.kubernetes_env"", ""airflow.providers.cncf.kubernetes.kubernetes_hooks"", ""airflow.providers.cncf.kubernetes.operators.kubernetes_pod"", ""airflow.utils.dates""]",[],"[""apache-airflow""]",{},[],"[""airflow""]","[""airflow""]",[],"[""apache-airflow""]",[],1,0,1,0,1,0,0
deepseekcoder,Base,A,4477__repeat_1,4477,full_ast,ast_ok,,"[""PIL.Image"", ""libheif""]",[],"[""pillow""]","{""libheif"": ""unknown""}",[],"[""pillow""]","[""pillow""]",[],"[""pillow""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,4477__repeat_2,4477,full_ast,ast_ok,,"[""heif""]",[],[],"{""heif"": ""unknown""}",[],"[""heif""]",[],"[""heif""]",[],[],0,,0,,0,0,1
deepseekcoder,Base,A,4477__repeat_3,4477,full_ast,ast_ok,,"[""libheif""]",[],[],"{""libheif"": ""unknown""}",[],"[""libheif""]",[],"[""libheif""]",[],[],0,,0,,0,0,1
deepseekcoder,Base,A,4477__repeat_4,4477,full_ast,ast_ok,,"[""libheif""]",[],[],"{""libheif"": ""unknown""}",[],"[""opencv-python"", ""pillow""]","[""opencv-python"", ""pillow""]",[],[],[],0,,0,,0,0,1
deepseekcoder,Base,A,4477__repeat_5,4477,full_ast,ast_ok,,"[""PIL.Image"", ""libheif""]",[],"[""pillow""]","{""libheif"": ""unknown""}",[],"[""opencv-python"", ""pillow""]","[""opencv-python"", ""pillow""]",[],"[""pillow""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,3959__repeat_1,3959,full_ast,ast_ok,,"[""cdktf"", ""cdktf_cdktf_provider_aws""]",[],"[""cdktf""]","{""cdktf_cdktf_provider_aws"": ""unknown""}",[],"[""cdktf"", ""cdktf-cdktf-provider-aws""]","[""cdktf"", ""cdktf-cdktf-provider-aws""]",[],"[""cdktf""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,3959__repeat_2,3959,full_ast,ast_ok,,"[""cdktf""]","[""imports.aws""]","[""cdktf""]",{},[],"[""aws-cdk-lib"", ""constructs""]","[""aws-cdk-lib"", ""constructs""]",[],"[""cdktf""]",[],1,0,1,0,1,0,0
deepseekcoder,Base,A,3959__repeat_3,3959,full_ast,ast_ok,,"[""cdktf"", ""cdktf_cdktf_provider_aws"", ""imports.terraform_aws_instance""]",[],"[""cdktf"", ""imports""]","{""cdktf_cdktf_provider_aws"": ""unknown""}",[],"[""cdktf"", ""cdktf-cdktf-provider-aws"", ""imports""]","[""cdktf"", ""cdktf-cdktf-provider-aws"", ""imports""]",[],"[""cdktf"", ""imports""]",[],0,,0,,2,0,1
deepseekcoder,Base,A,3959__repeat_4,3959,full_ast,ast_ok,,"[""cdktf"", ""constructs""]",[],"[""cdktf"", ""constructs""]",{},[],"[""aws-cdk-lib"", ""typescript""]","[""aws-cdk-lib"", ""typescript""]",[],"[""cdktf"", ""constructs""]",[],1,0,1,0,2,0,0
deepseekcoder,Base,A,3959__repeat_5,3959,full_ast,ast_ok,,"[""cdktf"", ""cdktf_cdktf_provider_aws""]",[],"[""cdktf""]","{""cdktf_cdktf_provider_aws"": ""unknown""}",[],"[""cdktf"", ""cdktf-cdktf-provider-aws""]","[""cdktf"", ""cdktf-cdktf-provider-aws""]",[],"[""cdktf""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,4699__repeat_1,4699,full_ast,ast_ok,,"[""openstack""]",[],[],"{""openstack"": ""unknown""}",[],"[""python-openstack""]",[],"[""python-openstack""]",[],[],0,,0,,0,0,1
deepseekcoder,Base,A,4699__repeat_2,4699,full_ast,ast_ok,,"[""openstack""]",[],[],"{""openstack"": ""unknown""}",[],"[""python-openstackclient""]","[""python-openstackclient""]",[],[],[],0,,0,,0,0,1
deepseekcoder,Base,A,4699__repeat_3,4699,full_ast,ast_ok,,"[""openstack""]",[],[],"{""openstack"": ""unknown""}",[],"[""python-openstackclient""]","[""python-openstackclient""]",[],[],[],0,,0,,0,0,1
deepseekcoder,Base,A,4699__repeat_4,4699,full_ast,ast_ok,,"[""openstack""]",[],[],"{""openstack"": ""unknown""}",[],"[""python-openstackclient""]","[""python-openstackclient""]",[],[],[],0,,0,,0,0,1
deepseekcoder,Base,A,4699__repeat_5,4699,full_ast,ast_ok,,"[""openstack""]",[],[],"{""openstack"": ""unknown""}",[],"[""python-openstackclient""]","[""python-openstackclient""]",[],[],[],0,,0,,0,0,1
deepseekcoder,Base,A,4789__repeat_1,4789,full_ast,ast_ok,,"[""pulumi"", ""pulumi_azure_native""]",[],"[""pulumi""]","{""pulumi_azure_native"": ""unknown""}",[],"[""pulumi"", ""pulumi-azure-native""]","[""pulumi"", ""pulumi-azure-native""]",[],"[""pulumi""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,4789__repeat_2,4789,full_ast,ast_ok,,"[""pulumi"", ""pulumi_azure_native""]",[],"[""pulumi""]","{""pulumi_azure_native"": ""unknown""}",[],"[""pulumi"", ""pulumi-azure-native""]","[""pulumi"", ""pulumi-azure-native""]",[],"[""pulumi""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,4789__repeat_3,4789,full_ast,ast_ok,,"[""pulumi"", ""pulumi_azure""]",[],"[""pulumi"", ""pulumi-azure""]",{},[],"[""pulumi"", ""pulumi-azure""]","[""pulumi"", ""pulumi-azure""]",[],"[""pulumi"", ""pulumi-azure""]",[],1,1,1,1,2,0,0
deepseekcoder,Base,A,4789__repeat_4,4789,full_ast,ast_ok,,"[""pulumi"", ""pulumi_azure_native""]",[],"[""pulumi""]","{""pulumi_azure_native"": ""unknown""}",[],"[""pulumi"", ""pulumi-azure-native""]","[""pulumi"", ""pulumi-azure-native""]",[],"[""pulumi""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,4789__repeat_5,4789,full_ast,ast_ok,,"[""pulumi"", ""pulumi_azure""]",[],"[""pulumi"", ""pulumi-azure""]",{},[],"[""pulumi"", ""pulumi-azure""]","[""pulumi"", ""pulumi-azure""]",[],"[""pulumi"", ""pulumi-azure""]",[],1,1,1,1,2,0,0
deepseekcoder,Base,A,562__repeat_1,562,full_ast,ast_ok,,"[""tensorflow"", ""tensorflow.keras.layers"", ""tensorflow.keras.models""]",[],"[""tensorflow""]",{},[],"[""tensorflow""]","[""tensorflow""]",[],"[""tensorflow""]",[],1,1,1,1,1,0,0
deepseekcoder,Base,A,562__repeat_2,562,full_ast,ast_ok,,"[""cv2"", ""numpy"", ""tensorflow.keras.applications"", ""tensorflow.keras.layers"", ""tensorflow.keras.models""]",[],"[""numpy"", ""opencv-python"", ""tensorflow""]",{},[],"[""numpy"", ""opencv-python"", ""tensorflow""]","[""numpy"", ""opencv-python"", ""tensorflow""]",[],"[""numpy"", ""opencv-python"", ""tensorflow""]",[],1,1,1,1,3,0,0
deepseekcoder,Base,A,562__repeat_3,562,full_ast,ast_ok,,"[""torch"", ""torch.nn"", ""torch.nn.functional""]",[],"[""torch""]",{},[],"[""torch""]","[""torch""]",[],"[""torch""]",[],1,1,1,1,1,0,0
deepseekcoder,Base,A,562__repeat_4,562,full_ast,ast_ok,,"[""tensorflow"", ""tensorflow.keras.layers"", ""tensorflow.keras.models""]",[],"[""tensorflow""]",{},[],"[""tensorflow""]","[""tensorflow""]",[],"[""tensorflow""]",[],1,1,1,1,1,0,0
